유동인구(일주일),지하철거리(m),공원유무,결과
255,23,255,4
233,33,0,4
207,21,0,3
203,1,0,4
203,1,0,7
195,2,0,4
175,2,0,4
167,1,0,6
163,1,0,4
163,3,0,3
160,13,0,8
123,81,255,5
122,14,0,5
116,5,0,4
115,23,0,4
112,1,0,4
112,18,0,4
109,9,0,12
109,28,0,12
109,30,0,5
99,77,0,4
94,32,0,5
93,23,0,3
93,37,0,4
93,10,0,6
92,2,0,6
89,0,0,6
89,1,0,4
83,2,0,5
83,69,0,6
82,1,0,5
81,2,0,4
81,27,0,10
78,17,0,4
78,35,0,5
78,1,0,3
76,2,0,8
76,8,0,11
76,1,0,3
76,5,0,8
75,1,0,8
71,2,0,5
71,24,0,3
70,13,0,5
70,1,255,6
68,2,0,4
68,11,0,3
67,22,0,3
67,22,0,6
66,3,0,5
65,10,0,11
65,22,0,5
65,28,0,4
65,34,0,5
64,23,0,4
59,2,0,7
59,0,0,9
59,1,0,6
58,1,0,6
58,3,0,8
58,20,0,4
57,26,0,5
56,29,0,7
56,48,0,9
53,37,0,5
50,5,0,8
48,1,0,3
47,17,0,3
47,32,0,5
47,14,0,7
46,7,0,7
45,0,0,4
43,6,0,7
42,40,0,4
42,43,0,5
42,71,0,4
42,23,0,6
42,2,0,7
41,1,0,4
41,53,0,4
41,8,0,7
41,1,0,6
41,26,0,11
39,18,0,5
37,3,255,5
36,79,0,3
34,1,255,11
34,14,0,8
34,39,0,4
34,1,0,6
34,22,0,5
33,0,0,12
33,2,0,6
33,15,0,7
33,0,0,5
32,1,0,10
32,48,0,6
31,24,0,11
30,0,0,3
30,0,0,2
30,0,0,3
30,0,0,2
30,1,0,2
30,1,0,1
30,2,0,2
30,2,0,3
30,2,0,2
30,2,0,3
30,3,0,2
30,3,0,3
30,3,0,2
30,4,0,1
30,4,0,1
30,4,0,0
30,4,0,1
30,5,0,1
30,7,0,2
30,8,0,1
30,8,0,1
30,8,0,3
30,9,0,3
30,10,0,2
30,11,0,2
30,12,0,1
30,12,0,1
30,13,0,1
30,13,0,2
30,13,0,2
30,14,0,2
30,14,0,2
30,15,0,1
30,15,0,1
30,16,0,2
30,17,0,1
30,17,0,1
30,17,0,1
30,18,0,1
30,18,0,3
30,18,0,2
30,18,0,2
30,18,0,3
30,18,0,2
30,18,0,0
30,19,0,2
30,19,0,1
30,20,0,1
30,20,0,3
30,22,0,2
30,22,0,0
30,22,0,2
30,22,0,2
30,22,0,1
30,23,0,2
30,23,0,1
30,23,0,2
30,24,0,1
30,24,0,1
30,25,0,1
30,25,0,1
30,27,0,1
30,27,0,1
30,27,0,1
30,28,0,2
30,28,0,2
30,28,0,2
30,29,0,1
30,29,0,1
30,30,0,1
30,31,0,2
30,32,0,1
30,32,0,0
30,32,0,2
30,33,0,1
30,33,0,1
30,34,0,0
30,34,0,2
30,35,0,2
30,36,0,1
30,36,0,1
30,38,0,2
30,39,0,0
30,39,0,3
30,40,0,0
30,41,0,2
30,41,255,2
30,43,0,2
30,45,255,2
30,45,0,2
30,49,0,2
30,50,0,2
30,51,0,1
30,53,0,0
30,54,0,2
30,56,0,2
30,56,0,2
30,57,0,0
30,59,0,11
30,60,0,1
30,61,0,0
30,62,255,2
30,68,0,2
30,70,0,0
30,71,0,0
30,72,0,1
30,73,0,1
30,75,0,5
30,76,0,1
30,77,0,1
30,78,0,0
30,78,255,1
30,79,0,1
30,80,0,1
30,81,0,3
30,83,0,1
30,83,0,0
30,88,0,2
30,90,0,1
30,91,0,1
30,91,0,1
30,91,0,2
30,112,255,0
30,112,0,1
30,122,0,2
30,123,255,2
30,160,255,2
30,165,0,2
30,255,0,1
30,10,0,4
29,5,0,3
29,4,0,4
28,1,0,10
28,9,0,4
28,18,255,8
28,27,0,5
27,1,0,3
27,51,0,9
27,68,0,7
25,24,0,5
25,1,0,4
25,19,0,3
25,28,0,6
25,2,0,3
25,31,255,3
24,28,0,8
24,1,0,4
23,65,0,3
22,11,0,10
22,20,0,10
22,52,0,5
21,10,0,9
21,37,0,6
21,39,0,3
21,1,0,8
21,2,0,9
20,65,0,5
20,70,0,7
20,3,0,7
20,9,255,5
19,18,0,4
19,1,0,6
19,5,0,6
18,81,0,6
18,4,0,8
18,21,255,4
18,31,0,4
17,5,0,3
17,15,0,5
17,36,0,12
17,36,0,12
17,0,255,8
17,2,255,5
17,16,255,4
17,28,255,10
17,20,0,5
17,78,0,6
16,89,0,5
16,43,0,5
16,47,0,4
16,111,0,12
16,5,0,10
16,43,0,6
16,33,0,3
16,32,0,4
15,33,255,3
15,45,0,7
15,13,0,3
15,20,0,6
15,28,0,3
13,18,0,5
13,74,0,6
13,85,0,10
13,39,0,6
13,57,0,5
13,24,0,4
12,24,0,4
12,96,0,4
12,101,0,3
12,1,0,5
12,28,0,5
12,37,0,3
12,4,0,3
12,33,0,3
12,29,0,6
11,71,0,6
11,4,0,4
11,28,0,4
11,51,0,3
10,35,0,4
10,54,0,8
10,17,0,12
10,36,0,8
9,39,0,3
9,23,0,3
9,58,0,5
8,0,0,5
8,18,0,3
8,39,0,5
8,2,0,4
8,2,0,10
8,64,0,3
8,75,0,9
7,2,255,5
7,56,0,4
7,2,0,3
7,9,0,3
7,51,0,5
7,76,0,3
6,43,0,10
6,1,0,3
5,35,0,5
5,2,0,3
5,75,0,4
5,34,0,3
5,61,0,5
4,27,0,6
4,18,0,7
4,174,0,5
3,33,0,4
2,33,0,7
2,74,0,3
1,5,0,6
1,219,0,5
0,3,0,5
